player\dealer,2,3,4,5,6,7,8,9,10,A
5,1116.0,1571.0,1977.4,2296.0,2246.8,1868.6,1103.6,2062.4,1447.7,1332.5
6,2151.8,2374.8,2050.2,2550.8,2379.6,1688.2,1126.0,1222.0,1266.8,2074.5
7,1373.2,1286.2,1010.6,1723.8,1916.1,1253.1,1140.2,980.6,495.0,1213.7
8,1309.4,1438.7,1323.1,1890.6,2208.1,1106.7,1311.9,725.9,1101.8,1054.5
9,1333.6,1524.6,1487.7,912.9,1294.9,1166.8,1332.9,1435.8,1465.4,1140.5
10,1443.4,1301.2,1129.3,1268.3,1374.4,1509.1,1976.7,1296.5,2110.6,1927.9
11,878.8,1056.8,872.1,732.5,548.0,1072.5,1450.3,966.5,873.4,1812.1
12,1574.8,1508.0,1685.8,1630.0,1508.0,1100.8,1109.3,1062.1,1492.6,1446.3
13,1725.0,2053.9,1636.0,1691.0,1662.8,1370.8,994.8,1316.5,1233.2,912.9
14,2162.3,1983.4,1831.1,2333.3,1646.9,1395.7,1716.7,1297.8,1067.8,1765.2
15,2248.7,2324.8,2251.1,2303.0,2163.8,1608.9,2036.9,1777.0,1726.8,1907.1
16,2335.4,2098.2,1523.7,1919.1,1332.0,996.6,1531.3,1256.1,1792.9,1686.8
17,1393.6,1001.4,1074.9,1455.0,918.0,897.1,703.7,1532.1,1244.6,1525.3
18,1205.6,720.2,951.4,972.2,1001.4,1203.2,1701.2,1401.0,1832.0,1019.8
19,263.6,771.6,598.0,596.2,735.6,798.6,893.2,772.0,671.4,1357.0
