player\dealer,2,3,4,5,6,7,8,9,10,A
A/A,2070.4,1960.4,1746.0,1492.2,2083.0,1015.6,1225.2,1684.6,1397.6,447.0
2/2,1707.4,2322.4,1393.0,2296.4,1572.0,2016.6,2131.0,2511.8,1941.0,2765.3
3/3,2091.4,2154.6,2659.4,2555.6,2261.6,2327.8,2332.4,2614.0,2262.5,2360.5
4/4,2031.4,1894.2,2513.4,2421.2,2130.6,2222.6,2309.4,2259.8,1366.6,1536.7
5/5,1492.6,1630.4,1930.0,2346.0,1809.2,1985.8,1938.4,2053.8,2665.6,2578.5
6/6,2363.0,1978.4,1964.0,1688.4,2097.6,2449.8,2094.2,2199.2,1781.8,2254.5
7/7,1580.8,2020.2,2024.8,1988.2,1544.0,1891.4,2233.0,1842.8,2097.2,2355.2
8/8,1520.6,1572.2,1411.6,1327.2,1146.4,2012.0,1703.4,1961.2,1291.6,1580.7
9/9,2159.8,1838.2,2189.4,2435.6,2357.0,1943.8,2122.8,2715.6,2401.8,2375.0
10/10,510.8,1449.4,1578.2,1139.8,1136.6,721.0,886.6,1164.4,1007.4,1078.7
